Customer ID,Gender,Age,Married,City,Zip Code,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges, Lines  type,Internet Service,Internet Type,Avg Monthly GB Download,Streaming,Contract,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0017-DINOC,Male,47,No,Rancho Santa Fe,92091,0,54,No,0,No line,Yes,Cable,10,TV,Two Year,Credit Card,45.2,2460.55,0,2460.55,Stayed,No Churn,No Churn
0017-IUDMW,Female,25,Yes,Sunnyvale,94086,2,72,Yes,16.01,Multiple,Yes,Fiber Optic,59,TV&Movies & Music,Two Year,Credit Card,116.8,8456.75,1152.72,9609.47,Stayed,No Churn,No Churn
0018-NYROU,Female,58,Yes,Antelope,95843,0,5,Yes,18.65,Single,Yes,Fiber Optic,10,Unknown,Month-to-Month,Bank Withdrawal,68.95,351.5,93.25,444.75,Stayed,No Churn,No Churn
0019-EFAEP,Female,32,No,La Mesa,91942,0,72,Yes,2.25,Multiple,Yes,Fiber Optic,16,TV,Two Year,Bank Withdrawal,101.3,7261.25,162,7423.25,Stayed,No Churn,No Churn
0019-GFNTW,Female,39,No,Los Olivos,93441,0,56,No,0,No line,Yes,DSL,19,Unknown,Two Year,Bank Withdrawal,45.05,2560.1,0,2560.1,Stayed,No Churn,No Churn
0020-INWCK,Female,58,Yes,Woodlake,93286,9,71,Yes,27.26,Multiple,Yes,Fiber Optic,12,Movies & Music,Two Year,Credit Card,95.75,6849.4,1935.46,8784.86,Stayed,No Churn,No Churn
0020-JDNXP,Female,52,Yes,Point Reyes Station,94956,0,34,No,0,No line,Yes,DSL,20,TV&Movies & Music,One Year,Credit Card,61.25,1993.2,0,1993.2,Stayed,No Churn,No Churn
0021-IKXGC,Female,72,No,San Marcos,92078,0,1,Yes,7.77,Multiple,Yes,Fiber Optic,22,Unknown,One Year,Bank Withdrawal,72.1,72.1,7.77,79.87,Joined,No Churn,No Churn
0022-TCJCI,Male,79,No,Daly City,94015,0,45,Yes,10.67,Single,Yes,DSL,17,Movies,One Year,Credit Card,62.7,2791.5,480.15,3271.65,Churned,Dissatisfaction,Limited range of services
0023-HGHWL,Male,67,No,Morgan Hill,95037,0,1,No,0,No line,Yes,Cable,9,Unknown,Month-to-Month,Bank Withdrawal,25.1,25.1,0,25.1,Churned,Competitor,Competitor made better offer
0023-UYUPN,Female,79,Yes,Ahwahnee,93601,0,50,Yes,31.43,Multiple,No,No Internet,0,Unknown,One Year,Bank Withdrawal,25.2,1306.3,1571.5,2877.8,Stayed,No Churn,No Churn
0023-XUOPT,Female,26,Yes,Carnelian Bay,96140,1,13,Yes,43.56,Multiple,Yes,Fiber Optic,52,TV,Month-to-Month,Bank Withdrawal,94.1,1215.6,566.28,1781.88,Churned,Other,Other issues
0027-KWYKW,Female,30,Yes,Alpaugh,93201,1,23,Yes,34.91,Multiple,Yes,Fiber Optic,30,TV,Month-to-Month,Bank Withdrawal,83.75,1849.95,802.93,2652.88,Stayed,No Churn,No Churn
0030-FNXPP,Female,22,No,Keeler,93530,0,3,Yes,3.12,Single,No,No Internet,0,Unknown,Month-to-Month,Credit Card,19.85,57.2,9.36,66.56,Joined,No Churn,No Churn
0031-PVLZI,Female,34,Yes,Korbel,95550,0,4,Yes,12.43,Single,No,No Internet,0,Unknown,Month-to-Month,Credit Card,20.35,76.35,49.72,126.07,Churned,Price,Long distance charges
0032-PGELS,Female,37,Yes,Palomar Mountain,92060,1,1,No,0,No line,Yes,DSL,19,Unknown,Month-to-Month,Bank Withdrawal,30.5,30.5,0,30.5,Churned,Attitude,Attitude of service provider
0036-IHMOT,Female,37,Yes,Parlier,93648,10,55,Yes,35.04,Single,Yes,Fiber Optic,57,TV&Movies & Music,One Year,Bank Withdrawal,103.7,5656.75,1927.2,7603.95,Stayed,No Churn,No Churn
0040-HALCW,Male,42,Yes,Modesto,95358,3,54,Yes,19.7,Single,No,No Internet,0,Unknown,Two Year,Credit Card,20.4,1090.6,1063.8,2154.4,Stayed,No Churn,No Churn
0042-JVWOJ,Male,64,No,Glen Ellen,95442,0,26,Yes,37.7,Single,No,No Internet,0,Unknown,One Year,Bank Withdrawal,19.6,471.85,980.2,1430.8,Stayed,No Churn,No Churn
0042-RLHYP,Female,47,Yes,Eureka,95503,5,69,Yes,38.39,Single,No,No Internet,0,Unknown,Two Year,Bank Withdrawal,19.7,1396.9,2648.91,4045.81,Stayed,No Churn,No Churn
0048-LUMLS,Male,23,Yes,Moss Beach,94038,1,37,Yes,43.01,Single,Yes,Fiber Optic,51,TV&Movies & Music,One Year,Credit Card,91.2,3247.55,1591.37,4838.92,Stayed,No Churn,No Churn
0048-PIHNL,Female,48,Yes,Los Angeles,90058,5,49,Yes,49.58,Single,No,No Internet,0,Unknown,One Year,Bank Withdrawal,20.45,900.9,2429.42,3330.32,Stayed,No Churn,No Churn
0052-DCKON,Male,28,Yes,Los Angeles,90063,9,66,Yes,43.77,Multiple,Yes,Fiber Optic,41,TV&Movies & Music,One Year,Bank Withdrawal,-2,7942.15,2888.82,10830.97,Stayed,No Churn,No Churn
0052-YNYOT,Female,28,No,Calexico,92231,0,67,Yes,23.12,Single,No,No Internet,0,Unknown,One Year,Bank Withdrawal,20.55,1343.4,1549.04,2861.91,Stayed,No Churn,No Churn
0056-EPFBG,Male,33,Yes,Redding,96003,4,20,No,0,No line,Yes,Cable,22,Unknown,Two Year,Credit Card,39.4,825.4,0,825.4,Stayed,No Churn,No Churn
0057-QBUQH,Female,31,No,San Martin,95046,0,43,Yes,30.64,Multiple,No,No Internet,0,Unknown,Two Year,Bank Withdrawal,25.1,1070.15,1317.52,2387.67,Stayed,No Churn,No Churn
0058-EVZWM,Female,37,Yes,Stockton,95209,2,55,Yes,5.08,Multiple,Yes,Fiber Optic,9,TV,Month-to-Month,Bank Withdrawal,89.8,4959.6,279.4,5239,Stayed,No Churn,No Churn
0060-FUALY,Female,60,Yes,Los Angeles,90003,4,59,Yes,16.39,Multiple,Yes,Fiber Optic,14,TV,Month-to-Month,Bank Withdrawal,94.75,5597.65,967.01,6564.66,Stayed,No Churn,No Churn
0064-SUDOG,Female,48,Yes,Huntington Park,90255,3,12,Yes,19.28,Single,No,No Internet,0,Unknown,Two Year,Bank Withdrawal,20.3,224.5,231.36,455.86,Stayed,No Churn,No Churn
0064-YIJGF,Male,60,Yes,Yermo,92398,7,27,Yes,25.26,Multiple,Yes,Fiber Optic,23,Unknown,Month-to-Month,Bank Withdrawal,75.75,1929,682.02,2611.02,Stayed,No Churn,No Churn
0067-DKWBL,Male,69,No,San Diego,92129,0,2,Yes,43.99,Single,Yes,DSL,27,Unknown,Month-to-Month,Bank Withdrawal,49.25,91.1,87.98,179.08,Churned,Competitor,Competitor made better offer
0068-FIGTF,Female,20,No,Fremont,94539,0,27,Yes,48.91,Single,Yes,DSL,59,TV&Movies & Music,One Year,Credit Card,78.2,2078.95,1320.57,3399.52,Stayed,No Churn,No Churn
0071-NDAFP,Male,31,Yes,Santa Rosa,95405,1,25,Yes,23.69,Multiple,No,No Internet,0,Unknown,Two Year,Credit Card,25.5,630.6,592.25,1178.43,Stayed,No Churn,No Churn
0074-HDKDG,Male,46,Yes,San Jose,95126,5,25,Yes,6.45,Single,Yes,Cable,19,Unknown,One Year,Bank Withdrawal,61.6,1611,161.25,1727.35,Stayed,No Churn,No Churn
0076-LVEPS,Male,57,No,Tujunga,91042,0,29,No,0,No line,Yes,DSL,21,Unknown,Month-to-Month,Credit Card,45,1242.45,0,1230.19,Stayed,No Churn,No Churn
0078-XZMHT,Male,19,Yes,Visalia,93291,5,72,Yes,32.36,Multiple,Yes,DSL,52,TV&Movies & Music,Two Year,Bank Withdrawal,85.15,6316.2,2329.92,8646.12,Stayed,No Churn,No Churn
0080-EMYVY,Female,64,No,Lodi,95240,0,14,Yes,24.04,Single,Yes,Cable,12,Unknown,One Year,Credit Card,51.45,727.85,336.56,1064.41,Stayed,No Churn,No Churn
0080-OROZO,Female,38,No,El Portal,95318,0,35,Yes,36.42,Single,Yes,Fiber Optic,2,TV&Movies & Music,One Year,Bank Withdrawal,99.25,3532,1274.7,4806.7,Stayed,No Churn,No Churn
0082-LDZUE,Male,54,No,Calistoga,94515,0,1,Yes,42.95,Single,Yes,DSL,9,Unknown,Month-to-Month,Credit Card,44.3,44.3,42.95,87.25,Joined,No Churn,No Churn
0082-OQIQY,Male,50,No,Farmington,95230,0,29,Yes,2.05,Single,Yes,Fiber Optic,17,TV&Movies & Music,Month-to-Month,Bank Withdrawal,94.2,2607.6,59.45,2687.05,Stayed,No Churn,No Churn
0083-PIVIK,Male,25,No,Tulelake,96134,0,64,Yes,5.49,Multiple,Yes,DSL,69,TV,One Year,Bank Withdrawal,81.25,5567.55,351.36,5958.91,Stayed,No Churn,No Churn
0089-IIQKO,Female,35,Yes,Coleville,96107,1,39,Yes,24.38,Multiple,Yes,Fiber Optic,53,TV&Movies & Music,Month-to-Month,Credit Card,99.95,3767.4,950.82,4718.22,Stayed,No Churn,No Churn
0093-EXYQL,Female,72,No,Ojai,93023,0,40,Yes,44.14,Single,Yes,Fiber Optic,23,TV&Movies,Two Year,Bank Withdrawal,91.55,3673.6,1765.6,5439.2,Stayed,No Churn,No Churn
0093-XWZFY,Male,51,No,Desert Hot Springs,92241,0,40,Yes,37.69,Multiple,Yes,Fiber Optic,15,TV&Movies & Music,Month-to-Month,Credit Card,104.5,4036.85,1507.6,5544.45,Churned,Competitor,Competitor had better devices
0094-OIFMO,Female,78,No,North Hollywood,91605,0,11,Yes,11.59,Single,Yes,Fiber Optic,29,TV&Movies,Month-to-Month,Bank Withdrawal,95,1120.3,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction
0096-BXERS,Female,30,Yes,Inverness,94937,10,6,Yes,42.66,Multiple,Yes,Cable,85,Unknown,Month-to-Month,Bank Withdrawal,50.35,314.55,255.96,570.51,Stayed,No Churn,No Churn
0096-FCPUF,Male,58,No,Santa Rosa,95404,0,30,Yes,2.64,Multiple,Yes,DSL,15,Movies & Music,Month-to-Month,Mailed Check,64.5,1888.45,79.2,1967.65,Stayed,No Churn,No Churn
0098-BOWSO,Male,26,No,San Jose,95131,0,27,Yes,20.66,Single,No,No Internet,0,Unknown,Month-to-Month,Bank Withdrawal,19.4,529.8,557.82,1087.62,Stayed,No Churn,No Churn
0100-DUVFC,Male,66,Yes,Wilmington,90744,3,70,Yes,39.49,Multiple,Yes,Fiber Optic,28,TV&Movies,One Year,Bank Withdrawal,104.8,7308.95,2764.3,10067.14,Stayed,No Churn,No Churn
0103-CSITQ,Female,20,Yes,Modesto,95357,10,57,Yes,8.01,Multiple,Yes,Fiber Optic,73,TV&Movies & Music,One Year,Bank Withdrawal,109.4,6252.7,456.57,6709.27,Stayed,No Churn,No Churn
0104-PPXDV,Male,61,Yes,San Diego,92113,10,58,Yes,18.37,Single,Yes,DSL,18,Unknown,One Year,Credit Card,50.3,2878.55,1065.46,3933.78,Stayed,No Churn,No Churn
0106-GHRQR,Male,24,No,Rancho Palos Verdes,90275,0,16,Yes,25.71,Multiple,Yes,DSL,48,Movies & Music,Month-to-Month,Bank Withdrawal,71.4,1212.1,411.36,1623.46,Stayed,No Churn,No Churn
0106-UGRDO,Female,55,Yes,Kenwood,95452,3,69,Yes,38.52,Multiple,Yes,Fiber Optic,27,TV&Movies & Music,Two Year,Bank Withdrawal,116,8182.85,2657.88,10840.73,Stayed,No Churn,No Churn
0107-WESLM,Male,32,No,West Point,95255,0,1,Yes,31.77,Single,No,No Internet,0,Unknown,Month-to-Month,Bank Withdrawal,19.85,19.85,31.77,51.62,Churned,Attitude,Attitude of support person
0107-YHINA,Male,59,No,Los Angeles,90062,0,1,Yes,40.71,Multiple,Yes,Fiber Optic,25,TV&Movies & Music,Month-to-Month,Bank Withdrawal,99.75,99.75,40.71,140.46,Churned,Competitor,Competitor had better devices
0111-KLBQG,Male,71,Yes,Morongo Valley,92256,9,32,Yes,31.86,Single,Yes,Fiber Optic,23,TV&Movies & Music,One Year,Mailed Check,93.95,2861.45,1019.52,3880.97,Stayed,No Churn,No Churn
0112-QAWRZ,Male,49,Yes,Palo Verde,92266,8,16,Yes,48.71,Multiple,Yes,Fiber Optic,12,TV,Month-to-Month,Bank Withdrawal,90.8,1442.2,779.36,2221.56,Stayed,No Churn,No Churn
0112-QWPNC,Male,61,Yes,Valyermo,93563,1,49,Yes,39.55,Multiple,Yes,Cable,10,TV&Movies & Music,One Year,Bank Withdrawal,84.35,4059.35,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds
0114-IGABW,Female,40,Yes,Cambria,93428,2,71,No,0,No line,Yes,Cable,29,TV&Movies & Music,Two Year,Bank Withdrawal,58.25,4145.9,0,4145.9,Stayed,No Churn,No Churn
0114-PEGZZ,Female,39,No,Round Mountain,96084,0,33,Yes,49.69,Multiple,Yes,Fiber Optic,12,TV&Movies & Music,Month-to-Month,Bank Withdrawal,107.55,3645.5,1639.77,5285.27,Stayed,No Churn,No Churn
0114-RSRRW,Female,21,Yes,Klamath,95548,9,10,Yes,49.6,Single,No,No Internet,0,Unknown,Month-to-Month,Bank Withdrawal,19.95,187.75,496,683.75,Stayed,No Churn,No Churn
0115-TFERT,Male,24,Yes,Fresno,93650,1,21,Yes,36.26,Multiple,Yes,Fiber Optic,59,TV&Movies & Music,Month-to-Month,Bank Withdrawal,111.2,2317.1,761.46,3198.56,Churned,Attitude,Attitude of service provider
0117-LFRMW,Male,52,Yes,Angwin,94508,1,37,No,0,No line,Yes,DSL,23,Unknown,Month-to-Month,Bank Withdrawal,40.2,1448.8,0,1448.8,Churned,Competitor,Competitor offered more data
0118-JPNOY,Female,71,No,Le Grand,95333,0,26,Yes,33.74,Single,Yes,Fiber Optic,7,TV,Month-to-Month,Credit Card,85.8,2193.65,877.24,3070.89,Stayed,No Churn,No Churn
0121-SNYRK,Male,45,No,Redway,95560,0,50,No,0,No line,Yes,DSL,7,Unknown,One Year,Credit Card,35.4,1748.9,0,1748.9,Stayed,No Churn,No Churn
0122-OAHPZ,Female,29,No,San Diego,92122,0,7,Yes,28.62,Multiple,Yes,Fiber Optic,26,Music,Month-to-Month,Bank Withdrawal,73.85,511.25,200.34,698.56,Churned,Competitor,Competitor made better offer
0123-CRBRT,Female,62,Yes,Monterey Park,91755,1,61,Yes,47.19,Multiple,Yes,DSL,28,TV&Movies & Music,Two Year,Mailed Check,88.1,5526.75,2878.59,8405.34,Stayed,No Churn,No Churn
0125-LZQXK,Male,42,No,Big Oak Flat,95305,0,15,Yes,45.92,Single,Yes,Fiber Optic,12,TV&Movies & Music,Month-to-Month,Bank Withdrawal,101.35,1553.95,688.8,2242.75,Churned,Attitude,Attitude of service provider
0128-MKWSG,Female,51,No,Stevenson Ranch,91381,0,26,No,0,No line,Yes,DSL,19,Movies & Music,Month-to-Month,Credit Card,45.8,1147,0,1147,Stayed,No Churn,No Churn
0129-KPTWJ,Male,39,Yes,North Highlands,95660,9,72,Yes,33.22,Single,Yes,Fiber Optic,23,TV&Movies & Music,Month-to-Month,Bank Withdrawal,94.65,6747.35,2391.84,9139.19,Stayed,No Churn,No Churn
0129-QMPDR,Male,64,Yes,La Puente,91746,1,44,Yes,27.4,Single,No,No Internet,0,Unknown,One Year,Bank Withdrawal,20.5,865.05,1205.6,2070.65,Stayed,No Churn,No Churn
0130-SXOUN,Male,55,No,Glenhaven,95443,0,66,Yes,48.78,Multiple,Yes,Fiber Optic,8,Movies & Music,Month-to-Month,Credit Card,89.4,5976.9,3219.48,9200.36,Stayed,No Churn,No Churn
0133-BMFZO,Female,40,No,Alhambra,91803,0,2,Yes,36.81,Single,Yes,Fiber Optic,16,Unknown,Month-to-Month,Bank Withdrawal,86.25,181.65,73.62,255.27,Churned,Competitor,Competitor offered higher download speeds
0134-XWXCE,Female,76,No,Santa Monica,90403,0,44,Yes,7.72,Single,Yes,DSL,17,TV&Movies & Music,One Year,Bank Withdrawal,74.85,3268.05,339.68,3589.82,Stayed,No Churn,No Churn
0135-NMXAP,Female,57,No,Lodi,95240,0,12,Yes,14.38,Multiple,Yes,Fiber Optic,6,TV,Month-to-Month,Bank Withdrawal,89.75,1052.4,172.56,1224.96,Churned,Attitude,Attitude of support person
0136-IFMYD,Male,71,Yes,Los Angeles,90001,1,69,Yes,18.41,Multiple,Yes,Fiber Optic,17,TV&Movies,Two Year,Bank Withdrawal,109.95,7634.25,1270.29,8904.54,Stayed,No Churn,No Churn
0137-OCGAB,Female,25,No,Fairfield,94533,0,1,Yes,1.23,Multiple,Yes,Fiber Optic,69,Unknown,Month-to-Month,Mailed Check,80.2,80.2,1.23,81.43,Churned,Price,Lack of affordable download/upload speed
0137-UDEUO,Female,24,No,Stockton,95204,0,3,Yes,25.75,Single,No,No Internet,0,Unknown,Month-to-Month,Credit Card,19.85,63.75,77.25,141,Churned,Price,Long distance charges
0139-IVFJG,Female,19,Yes,Temecula,92592,10,2,Yes,4.65,Single,Yes,Fiber Optic,53,TV,Month-to-Month,Bank Withdrawal,90.35,190.5,9.3,199.8,Joined,No Churn,No Churn
0141-YEAYS,Female,77,No,Fallbrook,92028,0,27,Yes,2.97,Multiple,Yes,Fiber Optic,4,Unknown,Two Year,Bank Withdrawal,86.45,2401.05,80.19,2481.24,Stayed,No Churn,No Churn
0142-GVYSN,Male,57,No,Randsburg,93554,0,26,Yes,13.34,Single,No,No Internet,0,Unknown,Month-to-Month,Bank Withdrawal,20.3,511.25,346.84,858.09,Stayed,No Churn,No Churn
0147-ESWWR,Female,73,Yes,Atascadero,93422,9,39,Yes,20.15,Multiple,Yes,Fiber Optic,21,TV&Movies & Music,Month-to-Month,Bank Withdrawal,101.25,3949.15,785.85,4735,Stayed,No Churn,No Churn
0148-DCDOS,Male,41,No,Planada,95365,0,25,Yes,34.88,Multiple,Yes,Fiber Optic,8,TV&Movies & Music,Month-to-Month,Bank Withdrawal,94.7,2362.1,872,3234.1,Churned,Competitor,Competitor had better devices
0151-ONTOV,Female,43,No,Moorpark,93021,0,1,Yes,39.81,Single,Yes,Fiber Optic,23,Unknown,Month-to-Month,Mailed Check,70.9,70.9,39.81,110.71,Churned,Competitor,Competitor had better devices
0156-FVPTA,Male,48,Yes,Solvang,93463,1,22,Yes,27.24,Single,Yes,DSL,21,Unknown,Month-to-Month,Bank Withdrawal,54.2,1152.7,599.28,1751.98,Churned,Attitude,Attitude of service provider
0164-APGRB,Female,56,No,Calistoga,94515,0,72,Yes,48.37,Multiple,Yes,Fiber Optic,5,TV&Movies & Music,Two Year,Bank Withdrawal,114.9,8496.7,3482.64,11979.34,Stayed,No Churn,No Churn
0164-XAIRP,Female,51,No,La Mirada,90638,0,24,Yes,10.64,Single,No,No Internet,0,Unknown,Two Year,Bank Withdrawal,19.55,470.2,255.36,725.56,Stayed,No Churn,No Churn
0168-XZKBB,Female,34,Yes,Boron,93516,8,19,Yes,7.84,Multiple,Yes,Fiber Optic,16,TV,Month-to-Month,Bank Withdrawal,86.85,1564.4,148.96,1713.36,Stayed,No Churn,No Churn
0174-QRVVY,Male,21,Yes,San Marcos,92078,2,71,Yes,9.2,Multiple,No,No Internet,0,Unknown,Two Year,Credit Card,25.35,1847.55,653.2,2500.75,Stayed,No Churn,No Churn
0177-PXBAT,Male,78,Yes,Desert Center,92239,7,33,Yes,25.15,Multiple,Yes,Fiber Optic,20,TV&Movies,One Year,Bank Withdrawal,109.9,3694.7,829.95,4524.65,Stayed,No Churn,No Churn
0178-CIIKR,Female,60,No,Crows Landing,95313,0,3,Yes,2.69,Single,No,No Internet,0,Unknown,Month-to-Month,Credit Card,19.95,58,8.07,66.07,Joined,No Churn,No Churn
0178-SZBHO,Male,54,Yes,Tuolumne,95379,7,47,Yes,1.09,Multiple,Yes,Fiber Optic,13,TV,Month-to-Month,Bank Withdrawal,87.2,4017.45,51.23,4068.68,Stayed,No Churn,No Churn
0181-RITDD,Male,42,Yes,San Diego,92120,2,62,Yes,1.76,Single,Yes,Fiber Optic,20,TV&Movies & Music,Two Year,Credit Card,108.15,6825.65,109.12,6934.77,Stayed,No Churn,No Churn
0186-CAERR,Male,22,No,Auburn,95603,0,71,Yes,2.88,Multiple,Yes,Fiber Optic,48,TV&Movies & Music,One Year,Bank Withdrawal,116.3,8309.55,204.48,8514.03,Stayed,No Churn,No Churn
0187-QSXOE,Male,71,Yes,Fresno,93725,8,7,Yes,41.97,Single,Yes,Fiber Optic,11,TV&Movies & Music,Two Year,Bank Withdrawal,89,605.45,293.79,899.24,Stayed,No Churn,No Churn
0187-WZNAB,Female,56,Yes,Del Rey,93616,6,27,Yes,46.66,Single,Yes,Fiber Optic,28,Unknown,Month-to-Month,Credit Card,74.4,1972.35,1259.82,3232.17,Stayed,No Churn,No Churn
0188-GWFLE,Male,33,No,Redwood City,94065,0,2,Yes,1.81,Single,No,No Internet,0,Unknown,Month-to-Month,Credit Card,20.05,33.7,3.62,37.32,Joined,No Churn,No Churn
0191-EQUUH,Female,32,No,Landers,92285,0,25,No,0,No line,Yes,Cable,75,Unknown,Two Year,Bank Withdrawal,35.05,844.45,0,844.45,Stayed,No Churn,No Churn
0191-ZHSKZ,Male,80,No,Hawthorne,90250,0,30,Yes,38.61,Single,Yes,DSL,5,TV&Movies,One Year,Bank Withdrawal,74.75,2111.3,1158.3,3269.6,Stayed,No Churn,No Churn
0193-ESZXP,Female,73,Yes,Oceano,93445,1,58,Yes,16.94,Single,Yes,Fiber Optic,19,TV&Movies & Music,One Year,Credit Card,105.5,6205.5,982.52,7188.02,Churned,Attitude,Attitude of support person
0195-IESCP,Male,26,Yes,Armona,93202,1,10,Yes,2.02,Multiple,Yes,Fiber Optic,82,Movies & Music,Month-to-Month,Bank Withdrawal,85.25,855.3,20.2,975.5,Churned,Competitor,Competitor offered more data
0196-JTUQI,Female,59,No,Clarksburg,95612,0,9,Yes,9.27,Multiple,Yes,Fiber Optic,28,Unknown,Month-to-Month,Credit Card,75.2,633.85,83.43,717.28,Stayed,No Churn,No Churn
0196-VULGZ,Female,78,Yes,Irvine,92620,1,6,Yes,28.71,Multiple,Yes,Fiber Optic,17,Movies,Month-to-Month,Bank Withdrawal,84.35,474.9,172.26,647.16,Churned,Other,Deceased
0197-PNKNK,Female,47,Yes,Scotts Valley,95066,7,69,Yes,38.92,Multiple,Yes,Fiber Optic,16,Unknown,One Year,Bank Withdrawal,84.45,5848.6,2685.48,8574.08,Stayed,No Churn,No Churn
0201-MIBOL,Female,68,No,Salida,95368,0,66,Yes,10.45,Multiple,Yes,Fiber Optic,20,TV&Movies & Music,Two Year,Bank Withdrawal,102.4,6471.85,689.7,7161.55,Stayed,No Churn,No Churn
0201-OAMXR,Female,30,No,Mckinleyville,95519,0,70,Yes,10.21,Multiple,Yes,Fiber Optic,52,TV&Movies & Music,One Year,Credit Card,115.55,8127.6,714.7,8842.3,Churned,Dissatisfaction,Network reliability
0203-HHYIJ,Male,62,No,Atherton,94027,0,25,Yes,5.57,Multiple,No,No Internet,0,Unknown,One Year,Bank Withdrawal,25.3,676.35,139.25,815.6,Churned,Price,Long distance charges
0206-OYVOC,Female,52,Yes,Huntington Beach,92649,1,46,Yes,24.33,Single,No,No Internet,0,Unknown,Two Year,Credit Card,19.25,864.2,1119.18,1983.38,Stayed,No Churn,No Churn
0206-TBWLC,Female,63,Yes,Calimesa,92320,7,54,Yes,11.4,Multiple,Yes,Fiber Optic,26,TV&Movies & Music,One Year,Credit Card,114.65,6049.5,615.6,6665.1,Stayed,No Churn,No Churn
0207-MDKNV,Female,54,No,Daly City,94014,0,15,Yes,22.39,Single,Yes,Fiber Optic,7,TV&Movies & Music,Month-to-Month,Bank Withdrawal,105.1,1582.75,335.85,1918.6,Churned,Competitor,Competitor made better offer
0208-BPQEJ,Female,48,Yes,Middletown,95461,0,12,Yes,8.25,Single,No,No Internet,0,Unknown,Month-to-Month,Bank Withdrawal,19.4,198.1,99,297.1,Stayed,No Churn,No Churn
0212-ISBBF,Female,51,No,Berkeley,94705,0,22,No,0,No line,Yes,Cable,22,TV&Movies & Music,Month-to-Month,Bank Withdrawal,50.35,1098.85,0,1098.85,Stayed,No Churn,No Churn
0214-JHPFW,Female,22,Yes,Lost Hills,93249,9,70,No,0,No line,Yes,Cable,85,TV&Movies & Music,Two Year,Bank Withdrawal,57.8,4039.3,0,4038.29,Stayed,No Churn,No Churn
0215-BQKGS,Male,52,No,Garden Grove,92844,0,30,Yes,24.73,Single,Yes,Fiber Optic,20,Unknown,Month-to-Month,Credit Card,84.3,2438.6,741.9,3310.5,Stayed,No Churn,No Churn
0218-QNVAS,Male,22,Yes,Indio,92203,1,71,Yes,28.34,Multiple,Yes,Fiber Optic,59,TV&Movies & Music,One Year,Bank Withdrawal,100.55,7113.75,2012.14,9108.9,Stayed,No Churn,No Churn
0219-QAERP,Male,33,Yes,Oxnard,93033,2,30,Yes,9.81,Single,No,No Internet,0,Unknown,One Year,Credit Card,19.8,576.65,294.3,870.95,Stayed,No Churn,No Churn
0219-YTZUE,Male,26,Yes,San Diego,92122,5,4,Yes,28.77,Multiple,Yes,Fiber Optic,19,Music,Month-to-Month,Bank Withdrawal,84.8,371.9,115.08,486.98,Churned,Competitor,Competitor made better offer
